"date","no2Max","no2RatioMax"
2015-07-12,174,3.921875
2015-07-13,73,4.02116402116402
2015-07-14,68,6.24676445211389
2015-07-15,58,6.08595800524934
2015-07-16,47,5.51579535923959
2015-07-17,37,5.47543160690571
2015-07-18,30,3.0288921094015
2015-07-19,34,2.875
2015-07-20,103,7.51282051282051
2015-07-21,106,4.63768115942029
2015-07-22,42,2.83389856342644
2015-07-23,38,2.18006966530365
2015-07-24,25,4.00237001925641
2015-07-25,39,5.91587854654057
2015-07-26,46,1.36252296387018
2015-07-27,73,2.24358974358974
2015-07-28,63,1.78104575163399
2015-07-29,59,4.38126681340181
2015-07-30,45,0.297231665857212
2015-07-31,56,1.58447049778974
2015-08-01,39,1.83562428407789
2015-08-02,36,3.25582613249542
2015-08-03,60,3.62521758873836
2015-08-04,63,1.76072747939756
2015-08-05,66,5.14038583461643
2015-08-06,83,8.78687092656051
2015-08-07,130,2.66398348195583
2015-08-08,149,0.7425035697287
2015-08-09,161,0.050390526581003
2015-08-10,76,2.37055784034588
2015-08-11,107,3.00999545661063
2015-08-12,75,1.4632232960964
2015-08-13,62,0.91776883266245
2015-08-14,104,0.410710882408996
2015-08-15,69,1.97947368421053
2015-08-16,62,0.516662361146991
2015-08-17,51,1.23232323232323
2015-08-18,51,0.802585510368974
2015-08-19,71,5.8150165337483
2015-08-20,64,3.34097075670787
2015-08-21,69,1.45680628272251
2015-08-22,75,3.02001487373492
2015-08-23,185,1.18377425044092
2015-08-24,162,4.65526297111222
2015-08-25,79,5.05865102639296
2015-08-26,131,4.53839945365369
2015-08-27,91,-1.04242424242424
2015-08-28,86,1.18246663598711
2015-08-29,60,1.33518429100274
2015-08-30,100,0.19649477586788
2015-08-31,84,0.506998861429241
2015-09-01,91,2.47471781822927
2015-09-02,14,5.20553520553521
2015-09-03,43,4.19458303635068
2015-09-04,113,3.83919426425401
2015-09-05,122,4.14802631578947
2015-09-06,133,2.32118758434548
2015-09-07,36,2.32467532467532
2015-09-08,82,0.43019943019943
2015-09-09,121,0.915821904193997
2015-09-10,45,1.37782317557598
2015-09-11,41,2.76524644945698
2015-09-12,117,3.96923076923077
2015-09-13,109,0.161558564979805
2015-09-14,73,1.52692130694892
2015-09-15,55,1.84264876726475
