"date","user","type","executed","runTime","remarks"
"2016-08-01 10:57","POAS31-RT33","function","MultiFileBind",5.64332294464111,"Merged Year2015-2016"
"2016-08-01 10:57","POAS31-RT33","function","LoadAirHour",5.73532795906067,"Loaded2015-2016"
"2016-08-01 11:05","POAS31-RT33","function","MultiFileBind",5.65932393074036,"Merged Year2015-2016"
"2016-08-01 11:05","POAS31-RT33","function","LoadAirHour",5.81633281707764,"Loaded2015-2016"
"2016-08-01 11:08","POAS31-RT33","function","MultiFileBind",4.37425112724304,"Merged Year2015-2016"
"2016-08-01 11:08","POAS31-RT33","function","LoadAirHour",4.38525104522705,"Loaded2015-2016"
"2016-08-01 11:28","POAS31-RT33","function","MultiFileBind",4.51625919342041,"Merged Year2015-2016"
"2016-08-01 11:28","POAS31-RT33","function","LoadAirHour",4.5292592048645,"Loaded2015-2016"
"2016-08-01 11:29","POAS31-RT33","function","MultiFileBind",4.4662549495697,"Merged Year2015-2016"
"2016-08-01 11:29","POAS31-RT33","function","LoadAirHour",4.48025584220886,"Loaded2015-2016"
"2016-08-01 11:44","POAS31-RT33","function","MultiFileBind",5.18929696083069,"Merged Year2015-2016"
"2016-08-01 11:44","POAS31-RT33","function","LoadAirHour",5.21329808235168,"Loaded2015-2016"
"2016-08-01 11:49","POAS31-RT33","function","MultiFileBind",4.33324790000916,"Merged Year2015-2016"
"2016-08-01 11:49","POAS31-RT33","function","LoadAirHour",4.34524893760681,"Loaded2015-2016"
"2016-08-01 11:52","POAS31-RT33","function","MultiFileBind",4.45125508308411,"Merged Year2015-2016"
"2016-08-01 11:52","POAS31-RT33","function","LoadAirHour",4.46525597572327,"Loaded2015-2016"
"2016-08-01 12:00","POAS31-RT33","function","MultiFileBind",4.55426096916199,"Merged Year2015-2016"
"2016-08-01 12:00","POAS31-RT33","function","LoadAirHour",4.5762619972229,"Loaded2015-2016"
"2016-08-01 12:05","POAS31-RT33","function","MultiFileBind",1.66909599304199,"Merged Year2016-2016"
"2016-08-01 12:05","POAS31-RT33","function","LoadAirHour",1.68509602546692,"Loaded2016-2016"
"2016-08-01 12:05","POAS31-RT33","function","MultiFileBind",1.4770839214325,"Merged Year2016-2016"
"2016-08-01 12:05","POAS31-RT33","function","LoadAirHour",1.48908495903015,"Loaded2016-2016"
"2016-08-01 12:06","POAS31-RT33","function","MultiFileBind",1.48408508300781,"Merged Year2016-2016"
"2016-08-01 12:06","POAS31-RT33","function","LoadAirHour",1.52608704566956,"Loaded2016-2016"
"2016-08-01 17:30","POAS31-RT33","function","MultiFileBind",25.665079832077,"Merged Year2015-2016"
"2016-08-01 17:30","POAS31-RT33","function","LoadAirHour",25.8742821216583,"Loaded2015-2016"
"2016-08-01 17:30","POAS31-RT33","function","MultiFileBind",4.4584219455719,"Merged Year2015-2016"
"2016-08-01 17:30","POAS31-RT33","function","LoadAirHour",4.47402191162109,"Loaded2015-2016"
"2016-08-02 11:05","PONG-PC","function","MultiFileBind",7.66912221908569,"Merged Year2015-2016"
"2016-08-02 11:05","PONG-PC","function","LoadAirHour",7.68413305282593,"Loaded2015-2016"
"2016-08-02 11:06","PONG-PC","function","MultiFileBind",6.93663311004639,"Merged Year2015-2016"
"2016-08-02 11:06","PONG-PC","function","LoadAirHour",6.95064210891724,"Loaded2015-2016"
"2016-08-02 11:08","PONG-PC","function","MultiFileBind",4.29586911201477,"Merged Year2015-2016"
"2016-08-02 11:08","PONG-PC","function","LoadAirHour",4.3058750629425,"Loaded2015-2016"
"2016-08-02 11:10","PONG-PC","function","MultiFileBind",4.65511894226074,"Merged Year2015-2016"
"2016-08-02 11:10","PONG-PC","function","LoadAirHour",4.66611695289612,"Loaded2015-2016"
"2016-08-02 11:11","PONG-PC","function","MultiFileBind",4.24582695960999,"Merged Year2015-2016"
"2016-08-02 11:11","PONG-PC","function","LoadAirHour",4.25684309005737,"Loaded2015-2016"
"2016-08-02 11:11","PONG-PC","function","MultiFileBind",4.44396901130676,"Merged Year2015-2016"
"2016-08-02 11:11","PONG-PC","function","LoadAirHour",4.45497608184814,"Loaded2015-2016"
"2016-08-02 11:13","PONG-PC","function","MultiFileBind",4.53302907943726,"Merged Year2015-2016"
"2016-08-02 11:13","PONG-PC","function","LoadAirHour",4.54304194450378,"Loaded2015-2016"
"2016-08-02 11:13","PONG-PC","function","MultiFileBind",4.2958710193634,"Merged Year2015-2016"
"2016-08-02 11:13","PONG-PC","function","LoadAirHour",4.30587601661682,"Loaded2015-2016"
"2016-08-02 11:14","PONG-PC","function","MultiFileBind",6.63844203948975,"Merged Year2015-2016"
"2016-08-02 11:14","PONG-PC","function","LoadAirHour",6.65244317054749,"Loaded2015-2016"
"2016-08-02 11:15","PONG-PC","function","MultiFileBind",4.67612099647522,"Merged Year2015-2016"
"2016-08-02 11:15","PONG-PC","function","LoadAirHour",4.68612098693848,"Loaded2015-2016"
"2016-08-02 15:24","POAS31-RT33","function","MultiFileBind",7.66943907737732,"Merged Year2014-2016"
"2016-08-02 15:24","POAS31-RT33","function","LoadAirHour",7.69743990898132,"Loaded2014-2016"
"2016-08-02 15:25","POAS31-RT33","function","LoadAQHI",1.1620659828186,"Loaded2014-2016"
"2016-08-02 15:29","POAS31-RT33","function","MultiFileBind",14.6128358840942,"Merged Year2014-2016"
"2016-08-02 15:29","POAS31-RT33","function","LoadAirHour",14.7148418426514,"Loaded2014-2016"
"2016-08-02 15:29","POAS31-RT33","function","LoadAQHI",2.23212695121765,"Loaded2013-2020"
"2016-08-02 15:29","POAS31-RT33","source","default.R",28.2936189174652,NA
"2016-08-02 16:03","POAS31-RT33","function","MultiFileBind",6.29822587966919,"Merged Year2014-2016"
"2016-08-02 16:03","POAS31-RT33","function","LoadAirHour",6.31382608413696,"Loaded2014-2016"
"2016-08-02 16:55","POAS31-RT33","function","MultiFileBind",8.25482892990112,"Merged Year2014-2016"
"2016-08-02 16:55","POAS31-RT33","function","LoadAirHour",8.48982882499695,"Loaded2014-2016"
"2016-08-02 17:30","POAS31-RT33","function","MultiFileBind",8.56641507148743,"Merged Year2014-2016"
"2016-08-02 17:30","POAS31-RT33","function","LoadAirHour",8.73901510238647,"Loaded2014-2016"
"2016-08-02 17:30","POAS31-RT33","function","LoadAQHI",1.0462019443512,"Loaded2013-2020"
"2016-08-02 17:30","POAS31-RT33","source","default.R",25.4802629947662,NA
"2016-08-02 21:34","PONG-PC","function","MultiFileBind",8.91790008544922,"Merged Year2014-2016"
"2016-08-02 21:34","PONG-PC","function","LoadAirHour",8.94914102554321,"Loaded2014-2016"
"2016-08-02 21:35","PONG-PC","function","LoadAQHI",0.98119592666626,"Loaded2013-2020"
"2016-08-02 21:35","PONG-PC","source","default.R",28.132257938385,NA
"2016-08-03 14:26","POAS31-RT33","function","MultiFileBind",8.71149778366089,"Merged Year2014-2016"
"2016-08-03 14:26","POAS31-RT33","function","LoadAirHour",8.97051286697388,"Loaded2014-2016"
"2016-08-03 14:26","POAS31-RT33","function","LoadAQHI",1.08806300163269,"Loaded2013-2020"
"2016-08-03 14:26","POAS31-RT33","source","default.R",29.7557020187378,NA
"2016-08-03 14:57","POAS31-RT33","function","MultiFileBind",8.64282393455505,"Merged Year2014-2016"
"2016-08-03 14:57","POAS31-RT33","function","LoadAirHour",8.70522499084473,"Loaded2014-2016"
"2016-08-03 14:57","POAS31-RT33","function","LoadAQHI",1.10100698471069,"Loaded2013-2020"
"2016-08-03 14:57","POAS31-RT33","source","default.R",26.7135071754456,NA
"2016-08-03 15:05","POAS31-RT33","function","MultiFileBind",10.4106318950653,"Merged Year2014-2016"
"2016-08-03 15:05","POAS31-RT33","function","LoadAirHour",10.4760320186615,"Loaded2014-2016"
"2016-08-03 15:06","POAS31-RT33","function","MultiFileBind",7.15022611618042,"Merged Year2014-2016"
"2016-08-03 15:06","POAS31-RT33","function","LoadAirHour",7.15022611618042,"Loaded2014-2016"
"2016-08-03 15:06","POAS31-RT33","function","LoadAQHI",1.11060190200806,"Loaded2013-2020"
"2016-08-03 15:06","POAS31-RT33","source","default.R",19.785649061203,NA
"2016-08-03 15:12","POAS31-RT33","function","MultiFileBind",6.9900369644165,"Merged Year2014-2016"
"2016-08-03 15:12","POAS31-RT33","function","LoadAirHour",7.0056369304657,"Loaded2014-2016"
"2016-08-03 15:12","POAS31-RT33","function","LoadAQHI",1.03360199928284,"Loaded2013-2020"
"2016-08-03 15:12","POAS31-RT33","source","default.R",19.3350598812103,NA
"2016-08-03 15:25","POAS31-RT33","function","MultiFileBind",7.03043103218079,"Merged Year2014-2016"
"2016-08-03 15:25","POAS31-RT33","function","LoadAirHour",7.04603099822998,"Loaded2014-2016"
"2016-08-03 15:25","POAS31-RT33","function","LoadAQHI",0.983802080154419,"Loaded2013-2020"
"2016-08-03 15:26","POAS31-RT33","source","default.R",19.4596569538116,NA
"2016-08-03 15:39","POAS31-RT33","function","MultiFileBind",6.89542818069458,"Merged Year2014-2016"
"2016-08-03 15:39","POAS31-RT33","function","LoadAirHour",6.91102814674377,"Loaded2014-2016"
"2016-08-03 15:39","POAS31-RT33","function","LoadAQHI",1.09700202941895,"Loaded2013-2020"
"2016-08-03 15:39","POAS31-RT33","source","default.R",20.0022530555725,NA
"2016-08-03 21:41","PONG-PC","function","MultiFileBind",2.77585506439209,"Merged Year2015-2015"
"2016-08-03 21:41","PONG-PC","function","LoadAirHour",2.78786206245422,"Loaded2015-2015"
"2016-08-03 21:43","PONG-PC","Nil","Nil",1,"Just Test"
