"date","no2Max","no2Avg"
2015-09-26,74,5.875
2015-09-27,97,15.5416666666667
2015-09-28,107,15.7916666666667
2015-09-29,133,37.6666666666667
2015-09-30,112,27.4583333333333
2015-10-01,41,7.78260869565217
2015-10-02,32,2.58333333333333
2015-10-03,107,34.25
2015-10-04,24,8.33333333333333
2015-10-05,10,-7.58333333333333
2015-10-06,39,-10.4166666666667
2015-10-07,72,14
2015-10-08,91,24.375
2015-10-09,38,-13.8333333333333
2015-10-10,48,14.5833333333333
2015-10-11,29,0.625
2015-10-12,48,2.45833333333333
2015-10-13,42,12.7391304347826
2015-10-14,61,0.125
2015-10-15,51,-15.3157894736842
2015-10-16,21,-27.2083333333333
2015-10-17,72,-3.83333333333333
2015-10-18,126,47.9583333333333
2015-10-19,59,-16.9166666666667
2015-10-20,38,-21.5833333333333
2015-10-21,122,37.4782608695652
2015-10-22,63,-3.45833333333333
2015-10-23,83,1.45833333333333
2015-10-24,76,5.125
2015-10-25,34,10.5833333333333
2015-10-26,18,-1.58333333333333
2015-10-27,59,6.44444444444444
2015-10-28,30,-3.58333333333333
2015-10-29,27,-5.52173913043478
2015-10-30,5,-20.7916666666667
2015-10-31,61,18.2916666666667
2015-11-01,29,-2.08333333333333
2015-11-02,12,-12.6470588235294
2015-11-03,38,6.72727272727273
2015-11-04,33,1.21739130434783
2015-11-05,13,-5
2015-11-06,38,3.04166666666667
2015-11-07,25,2.04166666666667
2015-11-08,20,-0.125
2015-11-09,16,-13.375
2015-11-10,37,5.81818181818182
2015-11-11,46,10.5416666666667
2015-11-12,25,-2.26086956521739
2015-11-13,22,-5.58333333333333
2015-11-14,25,-4.16666666666667
2015-11-15,42,18.125
2015-11-16,16,-7.375
2015-11-17,67,-16.375
2015-11-18,31,-17.6875
2015-11-19,33,-4
2015-11-20,56,7.625
2015-11-21,65,26.0833333333333
2015-11-22,47,19.2916666666667
2015-11-23,38,-7.70833333333333
2015-11-24,43,9.70833333333333
2015-11-25,28,-7.41666666666667
2015-11-26,34,3.95652173913043
2015-11-27,76,23.9166666666667
2015-11-28,93,35.2916666666667
2015-11-29,94,45.3333333333333
2015-11-30,40,1.81818181818182
2015-12-01,63,26.25
2015-12-02,30,-3.28571428571429
2015-12-03,42,18.875
2015-12-04,71,26.3333333333333
2015-12-05,66,23.4166666666667
2015-12-06,62,20.9583333333333
2015-12-07,62,14.0833333333333
2015-12-08,65,29.375
2015-12-09,62,22.2173913043478
2015-12-10,77,23.304347826087
2015-12-11,57,7
2015-12-12,49,21.4166666666667
2015-12-13,60,26.2916666666667
2015-12-14,76,21.9166666666667
2015-12-15,51,17.5
2015-12-16,43,6.04347826086957
2015-12-17,55,6.41666666666667
2015-12-18,54,6.625
2015-12-19,43,18.5416666666667
2015-12-20,40,15
2015-12-21,29,10.75
2015-12-22,35,6.75
2015-12-23,70,13.2916666666667
2015-12-24,72,17.1739130434783
2015-12-25,49,15.75
2015-12-26,66,18.6666666666667
2015-12-27,55,20.25
2015-12-28,51,11.375
2015-12-29,56,19.0416666666667
2015-12-30,29,4.82608695652174
2015-12-31,35,3.91666666666667
2016-01-01,107,37.8333333333333
2016-01-02,28,-3.5
2016-01-03,74,23
2016-01-04,46,13.75
2016-01-05,31,11.2083333333333
2016-01-06,45,8.33333333333333
2016-01-07,74,7.60869565217391
2016-01-08,8,-11.65
2016-01-09,72,22.9583333333333
2016-01-10,52,18
2016-01-11,74,7.79166666666667
2016-01-12,59,13.4166666666667
2016-01-13,59,6.34782608695652
2016-01-14,40,15.5833333333333
2016-01-15,57,14.0833333333333
2016-01-16,46,11.125
2016-01-17,52,14.625
2016-01-18,37,6.375
2016-01-19,39,19.375
2016-01-20,39,16.3809523809524
2016-01-21,66,15.3478260869565
2016-01-22,30,10.8333333333333
2016-01-23,53,9.45833333333333
2016-01-24,30,6.70833333333333
2016-01-25,105,12.1666666666667
2016-01-26,89,23.4583333333333
2016-01-27,88,28.7391304347826
2016-01-28,73,30.9166666666667
2016-01-29,66,24.5416666666667
2016-01-30,98,24.2916666666667
2016-01-31,65,32.75
2016-02-01,49,10.1666666666667
2016-02-02,47,8.5
2016-02-03,29,8.95
2016-02-04,106,41.1304347826087
2016-02-05,98,26.5
2016-02-06,78,23.125
2016-02-07,77,26.625
2016-02-08,80,23.4166666666667
2016-02-09,53,13.3913043478261
2016-02-10,48,19.5652173913043
2016-02-11,67,18.2083333333333
2016-02-12,83,50.1304347826087
2016-02-13,26,2.45833333333333
2016-02-14,53,12.1666666666667
2016-02-15,18,-5.25
2016-02-16,62,-2.04166666666667
2016-02-17,39,0.916666666666667
2016-02-18,42,3.56521739130435
2016-02-19,57,18.8333333333333
2016-02-20,58,7.75
2016-02-21,61,30.625
2016-02-22,40,-0.458333333333333
2016-02-23,39,8.91666666666667
2016-02-24,44,-1.68181818181818
2016-02-25,55,10.875
2016-02-26,101,15.625
2016-02-27,55,25.125
2016-02-28,2,2
2016-02-29,21,-1.4
2016-03-01,73,24.25
2016-03-02,78,15.1666666666667
2016-03-03,27,-6.57142857142857
2016-03-04,24,-5.5
2016-03-05,20,-6.45833333333333
2016-03-06,38,-6.125
2016-03-07,43,-10.2083333333333
2016-03-08,90,16.3636363636364
2016-03-09,33,7.39130434782609
2016-03-10,33,3.05882352941176
2016-03-11,41,7.79166666666667
2016-03-12,98,42.7916666666667
2016-03-13,144,45.2916666666667
2016-03-14,37,11
2016-03-15,87,45.7083333333333
2016-03-16,46,21.0909090909091
2016-03-17,72,19.6086956521739
2016-03-18,69,34.7916666666667
2016-03-19,96,28.25
2016-03-20,34,14.7083333333333
2016-03-21,45,12.3333333333333
2016-03-22,53,7.5
2016-03-23,41,4.60869565217391
2016-03-24,38,9.5
2016-03-25,32,13
2016-03-26,44,16.875
2016-03-27,64,17.2666666666667
2016-03-28,76,48.0833333333333
2016-03-29,90,29.2380952380952
2016-03-30,110,10.625
2016-03-31,55,-3.08695652173913
2016-04-01,26,-3.84210526315789
2016-04-02,17,-5.125
2016-04-03,59,23.5
2016-04-04,62,25.625
2016-04-05,34,0.916666666666667
2016-04-06,23,-3.84210526315789
2016-04-07,51,12.2916666666667
2016-04-08,100,25.4166666666667
2016-04-09,104,23.4583333333333
2016-04-10,83,13
2016-04-11,36,9.83333333333333
2016-04-12,42,9.75
2016-04-13,49,11.4166666666667
2016-04-14,56,18.5217391304348
2016-04-15,41,2.70833333333333
2016-04-16,76,26.2916666666667
2016-04-17,34,12.9166666666667
2016-04-18,28,11.125
2016-04-19,42,15.75
2016-04-20,30,3.66666666666667
2016-04-21,70,9.20833333333333
2016-04-22,47,10.375
2016-04-23,30,14.6666666666667
2016-04-24,53,9.20833333333333
2016-04-25,50,8.6875
2016-04-26,32,9.1
2016-04-27,41,14.05
2016-04-28,21,-15.3529411764706
2016-04-29,48,16.0416666666667
2016-04-30,75,24.125
2016-05-01,57,21.6666666666667
2016-05-02,75,23.7083333333333
2016-05-03,39,7.54166666666667
2016-05-04,25,-2.2
2016-05-05,37,7.73913043478261
2016-05-06,53,11.1666666666667
2016-05-07,99,30.25
2016-05-08,58,26.25
2016-05-09,36,5.83333333333333
2016-05-10,21,-1.85
2016-05-11,24,-3.79166666666667
2016-05-12,51,6
2016-05-13,39,7.91666666666667
2016-05-14,32,19.3333333333333
2016-05-15,74,21.0416666666667
2016-05-16,37,4.375
2016-05-17,39,11.0416666666667
2016-05-18,45,13.7391304347826
2016-05-19,22,1.20833333333333
2016-05-20,56,5.83333333333333
2016-05-21,102,13.5
2016-05-22,57,7.42105263157895
