"date","date2","max.hour","max2.hour","max3.hour","max.NO2","max2.NO2","max3.NO2","max.NOx","max2.NOx","max3.NOx","max.CO","max2.CO","max3.CO","meanNO2","aqhi_daymax","ws_SF","ws_KP","wd_wgl","UV_Max"
2015-03-17,2015-03-17,7,6,23,89,61,57,436,254,357,730,440,NA,336.95652173913,5,12.8,11.4,50,5
2015-03-18,2015-03-18,22,21,16,70,69,68,305,256,153,980,1130,480,452.727272727273,5,9.2,8.2,40,4
2015-03-19,2015-03-19,17,16,20,150,100,96,520,265,288,450,380,850,576.666666666667,7,7.4,4.1,50,7
2015-03-20,2015-03-20,15,9,14,97,81,75,386,422,393,580,500,630,562.083333333333,7,8,4.4,40,7
2015-03-21,2015-03-21,12,15,13,139,115,111,563,389,471,720,620,880,877.826086956522,8,6.5,3.8,40,6
2015-03-22,2015-03-22,15,16,9,72,72,54,193,152,189,1000,600,750,630,6,18.2,10.8,70,3
2015-03-23,2015-03-23,10,22,9,74,72,60,223,167,176,460,730,380,357.083333333333,8,24.1,13.5,80,6
2015-03-24,2015-03-24,17,12,10,81,63,56,227,191,131,510,510,560,429.583333333333,7,22.8,12.9,80,7
2015-03-25,2015-03-25,7,22,13,69,62,58,222,163,306,440,710,320,495,6,20.3,10.4,70,2
2015-03-26,2015-03-26,0,1,2,42,39,29,85,90,52,440,1480,1470,485.416666666667,6,12.5,5.3,70,5
2015-03-27,2015-03-27,22,6,13,59,24,23,-5,131,175,390,640,850,444.782608695652,7,3.2,1.2,30,4
2015-03-28,2015-03-28,13,11,12,95,45,27,261,141,87,500,540,460,413.75,6,13.1,8.3,50,9
2015-03-29,2015-03-29,23,22,21,60,47,31,134,132,54,590,650,710,565.833333333333,6,8,6.4,50,9
2015-03-30,2015-03-30,13,12,4,71,54,52,336,283,117,560,630,850,645.833333333333,7,11.6,9.5,50,8
2015-03-31,2015-03-31,7,9,6,57,47,42,295,185,210,1020,580,830,573.333333333333,5,10,5.8,40,8
2015-04-01,2015-04-01,23,18,21,87,59,57,259,199,202,750,690,870,539.583333333333,5,9.3,6.3,150,8
2015-04-02,2015-04-02,21,22,7,38,29,23,79,66,57,500,550,500,547.5,4,9.4,6.4,180,10
2015-04-03,2015-04-03,13,14,18,44,38,38,143,98,137,410,590,940,582.608695652174,4,8.7,5.5,170,3
2015-04-04,2015-04-04,20,18,22,95,70,65,306,244,216,1180,930,1080,813.333333333333,5,7.7,5,170,6
2015-04-05,2015-04-05,0,11,9,39,27,25,123,84,80,1140,660,530,647.5,4,10.6,7.5,50,11
2015-04-06,2015-04-06,11,17,10,77,46,42,373,175,172,890,NA,930,786.363636363636,5,6.3,4.1,30,8
2015-04-07,2015-04-07,7,19,15,43,38,33,185,89,84,1000,770,920,723.04347826087,5,15.2,10.9,70,8
2015-04-08,2015-04-08,21,20,11,42,35,23,215,126,94,830,920,1080,853.636363636364,5,6.7,9,20,3
2015-04-09,2015-04-09,14,7,0,41,37,35,142,133,166,710,700,990,809.52380952381,5,10,6.6,30,3
2015-04-10,2015-04-10,21,8,0,53,3,2,207,-57,-17,750,620,830,691.052631578947,5,4.3,4.3,20,3
2015-04-11,2015-04-11,16,15,9,63,62,55,389,515,244,70,280,380,284.347826086957,5,7.3,4.3,30,2
2015-04-12,2015-04-12,23,22,17,122,95,57,492,309,178,270,40,450,327.083333333333,8,5.4,3.1,20,9
2015-04-13,2015-04-13,7,0,16,81,66,55,368,297,144,370,280,210,115.416666666667,11,5.5,5,10,9
2015-04-14,2015-04-14,13,22,12,85,74,73,274,216,296,-20,-20,90,77.3913043478261,9,7.6,7.9,20,10
2015-04-15,2015-04-15,17,14,20,87,77,74,147,142,171,-80,-60,30,-22.9166666666667,9,6.8,5.1,180,9
2015-04-16,2015-04-16,14,10,12,108,97,92,290,356,316,-250,200,160,-212.272727272727,9,6.7,4.7,230,9
2015-04-17,2015-04-17,13,16,17,104,91,76,235,205,212,60,170,90,-206.086956521739,6,9.6,5.7,140,10
2015-04-18,2015-04-18,13,19,14,53,31,30,96,33,29,-100,-10,-150,-47.0833333333333,5,10.4,9.8,180,4
2015-04-19,2015-04-19,11,22,7,40,35,34,124,126,89,70,210,240,75.8333333333333,4,9.7,7.5,200,3
2015-04-20,2015-04-20,22,21,7,73,67,52,282,185,174,560,460,-70,60.4166666666667,6,12.4,6.9,210,4
2015-04-21,2015-04-21,0,22,21,58,34,33,283,81,90,980,-30,-70,174.782608695652,5,10.9,5.8,20,7
2015-04-22,2015-04-22,4,16,19,27,24,17,60,26,28,440,-90,20,-12.5,6,19.4,9.8,80,9
2015-04-23,2015-04-23,16,17,6,80,58,49,262,281,83,570,260,50,20,7,18,9.1,70,3
2015-04-24,2015-04-24,19,21,18,105,59,38,493,291,135,310,740,90,120.833333333333,10,10.3,5.1,70,9
2015-04-25,2015-04-25,14,22,15,84,29,27,225,59,50,80,-10,10,-22.5,6,18.3,9.5,70,8
2015-04-26,2015-04-26,18,17,14,58,51,45,141,88,76,170,20,-70,17.0833333333333,6,17.8,9.2,80,9
2015-04-27,2015-04-27,18,22,21,108,71,61,302,221,174,-60,170,50,-65,7,11.8,5,50,9
2015-04-28,2015-04-28,15,21,22,96,93,69,344,339,176,40,190,-100,-21.6666666666667,5,7,5.8,230,11
2015-04-29,2015-04-29,9,23,22,65,54,43,265,159,105,90,-80,-170,20,6,8.1,6.3,220,10
2015-04-30,2015-04-30,22,19,17,91,71,68,284,126,194,10,-80,-90,0.5,6,9.6,5.5,190,10
2015-05-01,2015-05-01,19,10,7,65,57,52,195,194,184,330,220,80,84.5833333333333,4,9.3,7.3,120,9
2015-05-02,2015-05-02,14,15,13,84,53,50,324,146,144,80,-100,-200,-94.3478260869565,5,10,8.5,200,6
2015-05-03,2015-05-03,11,10,13,65,50,41,206,167,118,-10,-30,50,15.4166666666667,4,8.9,6.7,210,9
2015-05-04,2015-05-04,10,15,13,82,62,53,286,143,134,-60,-130,-90,-38.695652173913,5,8.6,7.3,210,9
2015-05-05,2015-05-05,9,18,12,70,69,59,207,227,153,-180,550,10,32.5,5,10.7,7.8,200,8
2015-05-06,2015-05-06,17,21,22,68,54,45,199,190,163,50,320,280,196.95652173913,5,10.2,7.6,170,7
2015-05-07,2015-05-07,22,13,11,51,40,32,148,121,104,200,290,300,235.652173913043,4,8.7,6.7,180,8
2015-05-08,2015-05-08,18,20,21,71,45,44,231,193,129,340,570,480,252.5,4,12.3,9,180,7
2015-05-09,2015-05-09,14,13,16,70,68,62,235,238,257,410,430,310,203.75,5,10.3,8.1,210,8
2015-05-10,2015-05-10,14,10,15,57,50,44,181,173,143,300,160,380,285,4,9.5,7,30,5
2015-05-11,2015-05-11,22,23,18,65,44,32,241,152,87,NA,NA,130,175.909090909091,5,11.8,8.3,110,10
2015-05-12,2015-05-12,0,21,22,24,23,15,74,55,34,580,240,300,234.5,6,9.4,6.4,100,10
2015-05-13,2015-05-13,19,20,23,89,85,75,255,238,228,20,100,520,113.04347826087,7,14.8,10.2,100,10
2015-05-14,2015-05-14,16,22,21,134,68,62,430,211,225,330,230,460,171.304347826087,5,9.3,7.8,170,11
2015-05-15,2015-05-15,15,12,14,87,58,51,259,176,137,150,190,260,184.583333333333,5,8.7,7.9,200,9
2015-05-16,2015-05-16,14,16,11,130,66,43,617,343,97,120,NA,10,78.2608695652174,7,7.8,4.5,220,6
2015-05-17,2015-05-17,20,22,15,91,41,39,317,111,117,610,490,280,223.75,5,8,5.7,230,8
2015-05-18,2015-05-18,23,20,22,63,47,43,241,107,139,420,30,180,108.75,4,10.9,9.3,210,5
2015-05-19,2015-05-19,13,21,20,33,31,29,84,85,83,-60,150,150,28.1818181818182,4,14.6,11.9,210,4
2015-05-20,2015-05-20,21,10,20,63,47,34,199,97,105,230,-30,240,46.8421052631579,5,15.6,9.8,220,6
2015-05-21,2015-05-21,14,13,16,31,28,21,87,74,66,-280,-40,60,20.4545454545455,6,23.4,13.6,70,4
2015-05-22,2015-05-22,22,13,6,18,15,14,58,47,29,40,-20,50,-10.8333333333333,5,23.8,13.4,60,5
2015-05-23,2015-05-23,18,17,5,53,39,36,246,253,109,-100,-40,1070,128.695652173913,5,9.7,5.9,210,1
2015-05-24,2015-05-24,12,13,15,54,45,45,188,226,179,200,250,160,435,6,6.3,3.1,30,6
2015-05-25,2015-05-25,15,16,13,79,61,59,228,165,134,230,210,240,219.166666666667,5,5.7,3.5,210,11
2015-05-26,2015-05-26,19,20,18,53,34,30,197,54,157,NA,NA,NA,83.6842105263158,6,8.2,4.5,200,2
2015-05-27,2015-05-27,18,20,22,67,60,59,191,207,186,280,320,240,123.333333333333,4,11.3,10.3,200,12
2015-05-28,2015-05-28,15,16,9,40,37,31,100,95,144,170,100,-100,110,5,12.6,9,210,11
2015-05-29,2015-05-29,9,16,7,96,73,66,380,274,211,190,250,110,145,5,11.4,7.8,210,7
2015-05-30,2015-05-30,13,14,15,127,86,73,494,377,277,-10,50,190,66.6666666666667,6,13.1,7.7,230,11
2015-05-31,2015-05-31,11,15,14,62,61,58,195,194,250,160,220,270,187.5,5,7.1,5.7,220,10
2015-06-01,2015-06-01,19,7,12,41,40,31,101,108,86,-240,-160,30,-64.5833333333333,5,10.1,8.9,190,9
2015-06-02,2015-06-02,22,23,15,76,54,45,184,162,127,-100,-110,100,-17.8260869565217,4,10,8.6,190,7
2015-06-03,2015-06-03,16,13,17,80,64,61,320,279,252,290,150,270,24.5454545454545,5,10.3,8.6,220,11
2015-06-04,2015-06-04,12,13,16,71,65,49,314,262,199,220,80,-80,-65.4166666666667,4,9.8,8.5,230,11
2015-06-05,2015-06-05,21,20,14,87,36,31,269,118,121,260,40,-60,-56.9565217391304,5,12.9,7.5,230,8
2015-06-06,2015-06-06,9,18,22,63,62,60,256,188,208,-30,120,0,56.6666666666667,4,7.5,6.7,210,10
2015-06-07,2015-06-07,11,17,12,59,49,44,174,149,127,160,70,70,11.25,4,10.5,8.4,200,11
2015-06-08,2015-06-08,16,8,21,53,46,40,178,162,136,60,-20,-50,-5.21739130434783,4,9.6,9.4,200,9
2015-06-09,2015-06-09,13,12,9,103,67,54,376,287,214,70,160,-30,15.8333333333333,4,12,8.7,220,11
2015-06-10,2015-06-10,7,13,12,28,26,23,91,69,51,-150,-50,-40,-130,4,10.8,7.2,210,6
2015-06-11,2015-06-11,15,7,22,65,56,55,245,196,193,190,-20,40,-36.9565217391304,4,11.6,7.3,220,9
2015-06-12,2015-06-12,20,23,13,53,29,19,181,105,84,-40,-30,-80,-14.3478260869565,4,7.5,6.6,210,9
2015-06-13,2015-06-13,16,23,22,74,58,51,259,198,137,10,-200,-170,-66.25,4,7.3,7.2,210,9
2015-06-14,2015-06-14,22,13,21,78,48,46,315,150,170,110,-30,90,-49.5652173913044,4,9.8,7.5,200,11
2015-06-15,2015-06-15,19,6,23,45,42,39,162,166,102,-30,NA,120,-106.363636363636,5,NA,5,200,11
2015-06-16,2015-06-16,17,16,15,70,69,51,284,253,224,-40,-30,0,-107.5,5,7.1,7.6,220,11
2015-06-17,2015-06-17,23,6,3,22,13,11,63,2,76,310,-30,30,-26.6666666666667,4,11.7,8.9,230,12
2015-06-18,2015-06-18,16,15,6,63,35,28,208,158,97,20,150,280,173.5,4,12.5,7.4,230,12
2015-06-19,2015-06-19,15,22,16,64,63,57,309,199,233,330,220,300,208.75,4,9.1,8.6,230,11
2015-06-20,2015-06-20,13,16,18,78,58,58,211,169,207,330,320,320,303.75,4,9.2,6.8,130,12
2015-06-21,2015-06-21,16,8,11,27,17,17,113,73,45,340,220,290,213.333333333333,3,14.3,10,110,11
2015-06-22,2015-06-22,12,11,13,81,40,40,271,118,127,0,160,50,51.25,5,16.3,10.5,130,12
2015-06-23,2015-06-23,19,22,23,56,54,51,141,206,163,40,280,330,104.583333333333,5,12.8,7.5,160,6
2015-06-24,2015-06-24,17,21,20,82,46,37,310,150,74,0,250,50,97.0833333333333,5,9.3,7.1,170,6
2015-06-25,2015-06-25,19,20,21,28,23,18,105,76,68,-30,40,-20,61.1764705882353,4,10,6.9,200,4
2015-06-26,2015-06-26,16,22,23,39,27,18,151,74,57,210,0,40,-11.304347826087,4,10.8,7.4,220,10
2015-06-27,2015-06-27,16,11,15,47,43,37,146,133,126,60,110,130,111.666666666667,4,10.6,8.6,200,10
2015-06-28,2015-06-28,15,10,14,89,82,56,242,284,166,260,210,150,162.5,4,9.9,8,220,12
2015-06-29,2015-06-29,14,13,15,90,54,53,311,188,194,190,110,80,89.1666666666667,5,12.3,8.9,220,12
2015-06-30,2015-06-30,9,13,10,78,69,51,303,221,190,-60,250,20,155.217391304348,5,10.9,8,220,11
2015-07-01,2015-07-01,11,10,12,206,94,84,686,311,261,380,190,210,144.090909090909,6,10.6,8.5,220,11
2015-07-02,2015-07-02,16,19,15,93,30,28,314,102,97,350,170,140,120.434782608696,5,11.5,9.1,220,9
2015-07-03,2015-07-03,22,23,17,54,43,41,174,142,197,130,270,20,110,5,8.8,7.7,210,10
2015-07-04,2015-07-04,11,12,15,77,73,57,262,225,187,150,-120,30,75,5,7.4,5.6,170,9
2015-07-05,2015-07-05,22,15,16,65,61,56,265,225,198,360,270,240,217.083333333333,5,9.9,6.8,40,11
2015-07-06,2015-07-06,13,18,15,104,47,32,473,195,63,100,90,50,131.304347826087,10,10.8,6.6,20,5
2015-07-07,2015-07-07,14,22,12,71,43,39,193,141,101,-130,220,90,204.166666666667,7,6.4,8.9,10,10
2015-07-08,2015-07-08,14,13,10,62,55,28,168,187,146,120,100,190,255,9,9.1,7.8,10,11
2015-07-09,2015-07-09,18,15,19,67,55,51,186,79,145,-150,-110,280,122.173913043478,7,17.5,9.3,360,7
2015-07-10,2015-07-10,22,20,18,69,56,54,255,188,152,120,240,-40,22.1739130434783,5,16.1,9.9,90,11
2015-07-11,2015-07-11,13,22,20,164,91,76,527,213,82,190,130,-50,129.583333333333,11,10.6,6.3,220,10
2015-07-12,2015-07-12,16,19,15,174,150,116,298,302,212,200,320,150,187.272727272727,9,5,5.9,220,10
2015-07-13,2015-07-13,18,9,22,73,52,48,247,298,109,-310,-220,-200,-27.2727272727273,6,7.5,6.6,210,10
2015-07-14,2015-07-14,19,18,16,68,51,47,210,176,128,60,-50,60,118.333333333333,6,8,4.8,180,10
2015-07-15,2015-07-15,14,18,15,58,47,45,136,157,120,110,100,200,42.1739130434783,5,5.7,6,150,11
2015-07-16,2015-07-16,23,0,7,47,30,20,199,103,39,40,400,20,105.5,6,4.7,5.5,220,7
2015-07-17,2015-07-17,10,22,19,37,37,36,183,59,67,90,-140,-10,35.8333333333333,5,9.8,7.2,230,11
2015-07-18,2015-07-18,12,17,11,30,22,20,62,66,58,-130,-50,-260,-62.5,4,NA,8.9,60,8
2015-07-19,2015-07-19,13,11,18,34,33,33,70,65,93,80,70,80,94.5833333333333,5,NA,10.5,40,10
2015-07-20,2015-07-20,22,23,0,103,26,25,275,57,68,150,310,110,-0.952380952380952,4,12.6,8.1,60,3
2015-07-21,2015-07-21,15,16,22,106,90,72,384,353,246,90,140,170,107.083333333333,5,24.7,12.2,230,3
2015-07-22,2015-07-22,9,10,12,42,36,34,184,71,143,40,-190,-10,-120,5,15.4,8.3,220,0.8
2015-07-23,2015-07-23,7,16,10,38,35,29,121,141,65,70,30,50,-160,4,11.3,9.1,200,2
2015-07-24,2015-07-24,18,19,20,25,21,19,133,63,80,50,-40,0,-101.25,3,15.3,13.5,200,5
2015-07-25,2015-07-25,17,16,19,39,38,31,128,106,100,130,0,210,-57.3913043478261,4,12.3,9.5,200,9
2015-07-26,2015-07-26,23,10,17,46,34,31,150,121,134,140,150,110,6.25,4,11.8,10,200,6
2015-07-27,2015-07-27,21,23,22,73,71,63,280,242,239,180,40,50,-83.75,5,10.2,7.4,200,11
2015-07-28,2015-07-28,22,16,23,63,46,42,204,129,162,-30,-10,-10,-30,4,5,5.8,200,12
