type,site,year,day,1,2,3,4,5,6,7,8,9,10,11,12
ws,tun,2014,27,12.1,8.4,8.1,7.1,6.6,9.5,7.5,7.7,9.3,8.8,5.7,7.7
ws,tun,2014,28,5.2,10.5,7.2,7.8,8.9,10.3,6.1,11,8.7,8,5.8,7.3
ws,tun,2014,29,5.5,-999999,5.6,7.6,9.3,7.9,8.1,7.8,6.5,10.8,8.8,6.2
ws,tun,2014,30,3.4,-999999,10.8,5.1,8.7,14.2,7,8,4.2,9.7,4.3,4
ws,tun,2014,31,5.9,-999999,7.8,-999999,9.4,-999999,6.4,7.5,-999999,8,-999999,3.6
ws,tun,2015,1,6,6.1,8.7,11.8,14.5,11.4,11.7,9,5.4,5.2,11.3,8.2
ws,tun,2015,2,6.1,6.3,8.8,15.8,12.7,12,10.5,9.2,5.9,9.9,11,6.8
ws,tun,2015,3,5.7,4.5,8.8,15,9.9,9.3,11.2,8.7,6.1,10.8,7,12.2
ws,tun,2015,4,6,6.2,8.9,15,10.7,9,12.4,7.2,7.5,17.3,5.8,10.5
ws,tun,2015,5,7.2,13.1,13.8,10.9,12.6,8,10.1,7.1,7.1,14.6,7,9.6
ws,tun,2015,6,3.8,7.6,4.3,6.6,13.3,7.2,8.2,6.3,7.7,10,7.8,10.9
ws,tun,2015,7,8.7,5.2,5.9,6.7,12.3,13.5,9.8,5.8,6.2,5.6,8.8,9.4
ws,tun,2015,8,9.7,8.5,8,14.9,14.7,9.8,10.6,11.5,9.7,7.3,7.8,11.4
ws,tun,2015,9,6,6.8,4.9,10,10.3,9.1,11.5,10.8,9.2,9.2,5.3,9.2
ws,tun,2015,10,4.9,8.4,11.3,11.6,8.7,8.8,9.3,8.3,10.7,14.3,8.6,6.6
ws,tun,2015,11,6.2,5.7,5.8,9,9.9,8.4,6.4,7,9.8,13.4,9.5,8.1
ws,tun,2015,12,9.8,8.5,7.1,5.2,8.8,7.3,6.1,7.2,6.3,4.7,8,8.9
ws,tun,2015,13,6.9,6.2,6,5.6,11.9,10.3,8.2,9.2,7.8,7.8,9,10.5
ws,tun,2015,14,8.8,10,7.6,7.3,12,12.9,11.3,6.5,9.8,5.4,5.5,6.9
ws,tun,2015,15,9,3.6,8.5,8.2,13.4,11,9.5,5.7,8.4,6.9,8.2,10.8
ws,tun,2015,16,4.9,2.9,7.5,6.6,6.3,7.8,7.2,6.8,8,5.3,13.8,14.5
ws,tun,2015,17,8.5,5.1,11.3,12.5,8.2,9.5,5,7.7,8.5,6.6,9.8,12.7
ws,tun,2015,18,5.3,8.6,10.5,14.6,10.7,8.7,7.5,9.4,8.2,4.4,5.1,10.7
ws,tun,2015,19,9.3,12.4,7.8,13.1,9.3,8.8,5.7,6.6,8.4,5.1,6.1,9.4
ws,tun,2015,20,5,8.8,6.4,10,8.9,12,8.1,4.6,8.8,6.3,8.7,5
ws,tun,2015,21,3.5,6.7,5,8.6,10.6,8.1,12.8,6.5,6.1,9,5,5.1
ws,tun,2015,22,9,5.5,11.4,8.9,10.6,8.9,8.3,6.5,9.7,7.9,5.5,5.3
ws,tun,2015,23,8.1,6.3,7.1,3.3,5.7,11.8,9.9,7.2,7.2,6.8,6.4,4.6
ws,tun,2015,24,7.5,9.7,8.3,4.9,4.1,12.3,11.1,5,6.2,7.5,6.8,6.6
ws,tun,2015,25,5.1,7.2,5.1,8.8,7.8,9.5,11.3,7.7,7.7,8.9,8.7,9.4
ws,tun,2015,26,4.9,7.3,4.4,11.6,7.5,10.7,14,8,4.9,7,15.9,8.7
ws,tun,2015,27,7.9,10.7,5.4,7.8,9.2,13.5,12.7,8.3,6.9,4.7,9.9,7.3
ws,tun,2015,28,16.3,11.5,7.2,6.5,9.5,9.6,11.4,6.5,8.5,9.9,7,10
ws,tun,2015,29,4.9,-999999,8,7.1,9.6,10.5,9.9,5.7,8,10.6,6.2,6.3
