"year","day","type","site","variable","value"
2014,19,"wd","tap","X1",120
2014,20,"wd","tap","X1",350
2014,21,"wd","tap","X1",350
2014,22,"wd","tap","X1",350
2014,23,"wd","tap","X1",130
2014,24,"wd","tap","X1",140
2014,25,"wd","tap","X1",140
2014,26,"wd","tap","X1",130
2014,27,"wd","tap","X1",130
2014,28,"wd","tap","X1",130
2014,29,"wd","tap","X1",130
2014,30,"wd","tap","X1",250
2014,31,"wd","tap","X1",130
2015,1,"wd","tap","X1",120
2015,2,"wd","tap","X1",130
2015,3,"wd","tap","X1",130
2015,4,"wd","tap","X1",130
2015,5,"wd","tap","X1",140
2015,6,"wd","tap","X1",120
2015,7,"wd","tap","X1",350
2015,8,"wd","tap","X1",350
2015,9,"wd","tap","X1",130
2015,10,"wd","tap","X1",130
2015,11,"wd","tap","X1",360
2015,12,"wd","tap","X1",350
2015,13,"wd","tap","X1",350
2015,14,"wd","tap","X1",350
2015,15,"wd","tap","X1",350
2015,16,"wd","tap","X1",350
2015,17,"wd","tap","X1",120
2015,18,"wd","tap","X1",350
2015,19,"wd","tap","X1",350
2015,20,"wd","tap","X1",130
2015,21,"wd","tap","X1",250
2015,22,"wd","tap","X1",330
2015,23,"wd","tap","X1",130
2015,24,"wd","tap","X1",130
2015,25,"wd","tap","X1",140
2015,26,"wd","tap","X1",130
2015,27,"wd","tap","X1",130
2015,28,"wd","tap","X1",110
2015,29,"wd","tap","X1",130
2015,30,"wd","tap","X1",350
2015,31,"wd","tap","X1",350
2016,1,"wd","tap","X1",100
2016,2,"wd","tap","X1",130
2016,3,"wd","tap","X1",280
2016,4,"wd","tap","X1",140
2016,5,"wd","tap","X1",140
2016,6,"wd","tap","X1",350
2016,7,"wd","tap","X1",350
2016,8,"wd","tap","X1",20
2016,9,"wd","tap","X1",110
2016,10,"wd","tap","X1",130
2016,11,"wd","tap","X1",350
2016,12,"wd","tap","X1",350
2016,13,"wd","tap","X1",350
2016,14,"wd","tap","X1",50
2016,15,"wd","tap","X1",50
2016,16,"wd","tap","X1",120
2016,17,"wd","tap","X1",350
2016,18,"wd","tap","X1",350
2016,19,"wd","tap","X1",350
2016,20,"wd","tap","X1",120
2016,21,"wd","tap","X1",360
2016,22,"wd","tap","X1",350
2016,23,"wd","tap","X1",350
2016,24,"wd","tap","X1",360
2016,25,"wd","tap","X1",360
2016,26,"wd","tap","X1",350
2016,27,"wd","tap","X1",330
2016,28,"wd","tap","X1",140
2016,29,"wd","tap","X1",140
2016,30,"wd","tap","X1",350
2016,31,"wd","tap","X1",120
2014,1,"ws","tun","X2",5.7
2014,2,"ws","tun","X2",4.6
2014,3,"ws","tun","X2",5.1
2014,4,"ws","tun","X2",10.8
2014,5,"ws","tun","X2",7.5
2014,6,"ws","tun","X2",6
2014,7,"ws","tun","X2",5.7
2014,8,"ws","tun","X2",8.1
2014,9,"ws","tun","X2",10.4
2014,10,"ws","tun","X2",15.9
2014,11,"ws","tun","X2",12.7
2014,12,"ws","tun","X2",11.8
2014,13,"ws","tun","X2",11.8
2014,14,"ws","tun","X2",9.6
2014,15,"ws","tun","X2",7.3
2014,16,"ws","tun","X2",6.8
2014,17,"ws","tun","X2",5.2
2014,18,"ws","tun","X2",6.8
2014,19,"ws","tun","X2",11.2
2014,20,"ws","tun","X2",8.1
2014,21,"ws","tun","X2",6.6
2014,22,"ws","tun","X2",4.2
2014,23,"ws","tun","X2",8.8
2014,24,"ws","tun","X2",6.8
2014,25,"ws","tun","X2",6.2
2014,26,"ws","tun","X2",3.6
2014,27,"ws","tun","X2",8.4
2014,28,"ws","tun","X2",10.5
2014,29,"ws","tun","X2",-999999
2014,30,"ws","tun","X2",-999999
2014,31,"ws","tun","X2",-999999
2015,1,"ws","tun","X2",6.1
2015,2,"ws","tun","X2",6.3
2015,3,"ws","tun","X2",4.5
2015,4,"ws","tun","X2",6.2
2015,5,"ws","tun","X2",13.1
2015,6,"ws","tun","X2",7.6
2015,7,"ws","tun","X2",5.2
2015,8,"ws","tun","X2",8.5
2015,9,"ws","tun","X2",6.8
2015,10,"ws","tun","X2",8.4
2015,11,"ws","tun","X2",5.7
2015,12,"ws","tun","X2",8.5
2015,13,"ws","tun","X2",6.2
2015,14,"ws","tun","X2",10
2015,15,"ws","tun","X2",3.6
2015,16,"ws","tun","X2",2.9
