"site","date","o3_ug","no2_ug","nox_ug","so2_ug","rsp","fsp","co_ug"
"EN_HK",2014-07-01,30.0763983628922,40.8072625698324,NA,6.56480218281037,20.3036253776435,12.5234493192133,NA
"EN_HK",2014-08-01,27.0108254397835,39.1217861975643,NA,4.94993234100135,15.5555555555556,9.07960893854749,NA
"EN_HK",2014-09-01,43.3165969316597,47.4449093444909,NA,7.6652719665272,28.6444759206799,19.5241477272727,NA
"EN_HK",2014-10-01,80.391363022942,51.7827260458839,NA,6.97300944669366,53.3549257759784,35.177027027027,NA
"EN_HK",2014-11-01,45.5700280112045,53.2478991596639,NA,5.86134453781513,44.6558073654391,30.8599717114569,NA
"EN_HK",2014-12-01,41.6513513513514,56.8432432432432,NA,7.96891891891892,55.5438356164384,35.2520547945205,NA
"KC_HK",2014-01-01,47.9755766621438,87.5033921302578,148.533242876526,18.5006784260516,70.1314363143631,51.7249322493225,NA
"KC_HK",2014-02-01,34.1236476043277,60.1916537867079,120.568778979907,12.5718701700155,35.6333853354134,26.6092307692308,NA
"KC_HK",2014-03-01,37.03146374829,64.4863387978142,158.112021857924,14.2459016393443,47.0527045769764,32.9556786703601,NA
"KC_HK",2014-04-01,45.4303621169916,68.7618384401114,129.795264623955,17.2813370473538,40.875350140056,27.4859943977591,NA
"KC_HK",2014-05-01,21.2083897158322,56.8606224627876,159.129905277402,28.6129905277402,28.0450204638472,17.1841746248295,NA
"KC_HK",2014-06-01,24.9061166429587,64.3929078014184,152.16170212766,30.4978723404255,30.4950773558368,19.690576652602,NA
"KC_HK",2014-07-01,14.9262865090403,61.8973647711512,147.597780859917,31.5573997233748,28.280868385346,18.1750339213026,NA
"KC_HK",2014-08-01,12.4993215739484,54.1886024423338,145.767978290366,33.3297150610583,23.2986486486486,14.677027027027,NA
"KC_HK",2014-09-01,25.8492957746479,72.042194092827,139.872011251758,23.1279887482419,36.1050420168067,25.4747899159664,NA
"KC_HK",2014-10-01,71.0027359781122,78.0560109289618,109.001366120219,12.281036834925,56.8768606224628,38.1380243572395,NA
"KC_HK",2014-11-01,48.6791366906475,67.9727403156384,110.246771879484,13.519368723099,44.5281582952816,32.2313546423135,NA
"KC_HK",2014-12-01,44.1494565217391,72.6481732070365,127.242219215156,16.1677943166441,55.569696969697,37.0848484848485,NA
"KT_HK",2014-01-01,60.940379403794,69.4858299595142,119.342780026991,19.3522267206478,89.0471698113208,56.7681940700809,NA
"KT_HK",2014-02-01,39.4156626506024,50.6381381381381,103.333333333333,12.015015015015,48.4111445783133,31.8027108433735,NA
"KT_HK",2014-03-01,44.1297071129707,52.8864265927978,111.05540166205,12.4555555555556,57.0982142857143,39.1130952380952,NA
"KT_HK",2014-04-01,60.5115942028986,47.7464183381089,79.1031518624642,7.28080229226361,54.7051282051282,33.0208333333333,NA
"KT_HK",2014-05-01,28.0507757404795,54.4612188365651,135.156509695291,6.32963988919668,32.8167832167832,17.8671328671329,NA
"KT_HK",2014-06-01,29.8818565400844,57.0238095238095,125.347338935574,8.17366946778711,34.3818953323904,20.5459688826025,NA
"KT_HK",2014-07-01,19.5061898211829,60.0232558139535,125.199726402189,10.7934336525308,32.3849315068493,18.7465753424658,NA
"KT_HK",2014-08-01,16.4809782608696,57.1924119241192,126.985094850949,9.71138211382114,26.1742738589212,13.789764868603,NA
"KT_HK",2014-09-01,40.0127659574468,55.450643776824,93.8783977110157,11.8110014104372,40.5835694050991,23.4107648725212,NA
"KT_HK",2014-10-01,92.7077131258457,45.6450742240216,60.5681511470985,11.7300944669366,69.1693766937669,41.9552845528455,NA
"KT_HK",2014-11-01,61.1979768786127,44.5519765739385,66.5666178623719,9.12298682284041,57.0887323943662,36.169014084507,NA
"KT_HK",2014-12-01,53.3346994535519,53.3793103448276,91.2662068965517,10.8758620689655,66.7128987517337,38.7253814147018,NA
"MB_HK",2014-01-01,96.8775790921596,12.7043596730245,20.3514986376022,13.8623978201635,83.5587044534413,53.6725067385445,643.079019073569
"MB_HK",2014-02-01,67.7691154422789,7.82308845577211,15.9145427286357,8.09145427286357,45.5975975975976,26.9413533834586,576.131934032984
"MB_HK",2014-03-01,73.8503401360544,11.558583106267,19.0313351498638,9.62448979591837,54.0121786197564,31.2893258426966,609.795918367347
"MB_HK",2014-04-01,88.1600566572238,9.79320113314448,17.2067988668555,10.2025495750708,42.8951841359773,26.5369532428356,527.932011331445
